"Variable Name","Variable Label","Type","Controlled Terms, Codelist or Format","Role","CDISC Notes","Core","USDM Path and Attribute","Required USDM relationships","Selection / Derivation"
STUDYID,"Study Identifier",Char,,Identifier,"Unique identifier for a study.",Req,"Study/@versions/StudyVersion/@studyIdentifiers/StudyIdentifier/@studyIdentifier",,"study.studyVersion.studyIdentifier.organization.type.code=C188724 (Clinical StudySponsor)"
DOMAIN,"Domain Abbreviation",Char,TS,Identifier,"Two-character abbreviation for the domain.",Req,,,"Set to 'TS'"
TSSEQ,"Sequence Number",Num,,Identifier,"Sequence number given to ensure uniqueness within a parameter. Allows inclusion of multiple records for the same TSPARMCD.",Req,See TSPARMCD mapping table in TSPARM_spec.csv,,
TSGRPID,"Group ID",Num,,Identifier,"Used to tie together a group of related records. ",Perm,See TSPARMCD mapping table in TSPARM_spec.csv,,
TSPARMCD,"Trial Summary Parameter Short Name",Char,TSPARMCD,Topic,"TSPARMCD (the companion to TSPARM) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that TSPARMCD will need to serve as variable names. Examples:'AGEMIN', 'AGEMAX'.",Req,See TSPARMCD mapping table in TSPARM_spec.csv,,
TSPARM,"Trial Summary Parameter",Char,TSPARM,"Synonym Qualifier","Term for the trial summary parameter. The value in TSPARM cannot be longer than 40 characters. Examples: 'Planned Minimum Age of Subjects', 'Planned Maximum Age of Subjects'.",Req,See TSPARMCD mapping table in TSPARM_spec.csv,,
TSVAL,"Parameter Value",Char,,"Result Qualifier","Value of TSPARM. Example: 'ASTHMA' when TSPARM value is 'Trial Indication'. TSVAL can only be null when TSVALNF is populated. Text over 200 characters can be added to additional columns TSVAL1-TSVALn.",Exp,"See TSPARMCD mapping table in TSPARM_spec.csv. If not otherwise specified: ..Code/@decode",,
TSVALNF,"Parameter Value Null Flavor",Char,"ISO 21090 NullFlavor","Result Qualifier","Null flavor for the value of TSPARM, to be populated only if TSVAL is null.",Perm,"Fill in case of missing values with expected data as described in the SDTMIG",,
TSVALCD,"Parameter Value Code",Char,,"Result Qualifier","This is the code of the term in TSVAL. For example, '6CW7F3G59X' is the code for gabapentin; 'C49488' is the code for Y. The length of this variable can be longer than 8 to accommodate the length of the external terminology.",Exp,"See TSPARMCD mapping table in TSPARM_spec.csv. If not otherwise specified: ..Code/@decode",,
TSVCDREF,"Name of the Reference Terminology",Char,DICTNAM,"Result Qualifier","The name of the reference terminology from which TSVALCD is taken. For example; CDISC CT, SNOMED, ISO 8601.",Exp,"See TSPARMCD mapping table in TSPARM_spec.csv. If not otherwise specified: ..Code/@codeSystem",,
TSVCDVER,"Version of the Reference Terminology",Char,,"Result Qualifier","The version number of the reference terminology, if applicable.",Exp,"See TSPARMCD mapping table in TSPARM_spec.csv. If not otherwise specified: ..Code/@codeSystemVersion",,
